External Library Name, Link to License, License Name, Binaries using the license.
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libGLESv2.dll lib64/gles_angle/d3dcompiler_47.dll lib64/gles_angle/libEGL.dll ./emulator.exe, https://chromium.googlesource.com/angle/angle
Qt WebEngineWidgets, https://doc.qt.io/qt-5.12/qtWebEngineWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libEGL.dll lib64/gles_swiftshader/libGLESv2.dll lib64/gles_swiftshader/libGLES_CM.dll ./emulator.exe, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qsn.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll emugl_common.dll android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qsn.exe, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe OpenglRender.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qsn.exe, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
